,custom_key,rider_bike_curr_elo,rider_bike_new_elo,rider_track_curr_elo,rider_track_new_elo,track_rider_bike_curr_elo,track_rider_bike_new_elo,track_bike_curr_elo,track_bike_new_elo,season,race_num,track,rider,pos,simple_avg_curr_elo,rider_bike_curr_elo**2,curr_elo_rank,error_diff
38,2013.2.cota.Yonny HERNANDEZ.15,983.8349347038568,968.2252480458947,1001.0,984.1393684062897,999.0,982.2890347841799,1001.0,984.1911759986363,2013,2,cota,Yonny HERNANDEZ,15,996.2087336759641,,16,1
39,2013.2.cota.Michael LAVERTY.16,979.9272432402291,963.2968901366168,999.0,980.9892720528165,1001.0,982.862631271525,999.0,981.0410796451632,2013,2,cota,Michael LAVERTY,16,994.7318108100573,,18,2
40,2013.2.cota.Hiroshi AOYAMA.17,984.1508812045889,966.1577549314837,999.0,979.9157304419299,999.0,979.9272432402291,1001.0,981.8293844546855,2013,2,cota,Hiroshi AOYAMA,17,995.7877203011473,,15,2
41,2013.2.cota.Hector BARBERA.18,987.5518610278781,968.4309798332085,1001.0,980.8829588532667,999.0,979.0326252311569,1001.0,980.9347664456133,2013,2,cota,Hector BARBERA,18,997.1379652569696,,14,4
42,2013.2.cota.Claudio CORTI.19,981.0007848511158,961.5832772321144,999.0,978.2755974252974,999.0,978.2871102235966,1001.0,980.189251438053,2013,2,cota,Claudio CORTI,19,995.000196212779,,17,2
43,2013.2.cota.Bryan STARING.20,978.2190161730455,958.3705926752383,1001.0,979.5161813394063,1001.0,979.5276941377056,1001.0,979.5679889317529,2013,2,cota,Bryan STARING,20,995.3047540432614,,23,3
44,2013.2.cota.Blake YOUNG.21,1001.0,979.0715384762399,999.0,977.136616163747,1001.0,979.0099753824554,1001.0,979.0502701765027,2013,2,cota,Blake YOUNG,21,1000.5,,9,12
45,2013.2.cota.Danilo PETRUCCI.22,979.5276941377056,958.6405938146438,999.0,976.7051838677053,999.0,976.7166966660045,1001.0,978.6188378804609,2013,2,cota,Danilo PETRUCCI,22,994.6319235344264,,19,3
46,2013.2.cota.Lukas PESEK.23,979.0326252311569,957.8198701593873,999.0,976.3456569543371,1001.0,978.2190161730455,1001.0,978.2593109670928,2013,2,cota,Lukas PESEK,23,995.0081563077892,,20,3
47,2013.2.cota.Colin EDWARDS.24,978.2871102235966,956.8257457578262,999.0,976.046051193197,999.0,976.0575639914962,1001.0,977.9597052059527,2013,2,cota,Colin EDWARDS,24,994.3217775558992,,22,2
48,2013.3.jerez.Dani PEDROSA.1,1088.051377482705,1153.7766623721384,1001.0,1072.3378261473424,999.0,1070.506013113801,1001.0,1072.3738662115834,2013,3,jerez,Dani PEDROSA,1,1022.2628443706762,,3,2
49,2013.3.jerez.Marc MARQUEZ.2,1117.033737237828,1164.9264518326509,999.0,1054.455036201796,999.0,1054.4850695886637,1001.0,1056.3529226864462,2013,3,jerez,Marc MARQUEZ,2,1029.008434309457,,1,1
50,2013.3.jerez.Jorge LORENZO.3,1115.012385588012,1149.6779569353266,999.0,1041.1042499308483,999.0,1041.134283317716,999.0,1041.1402899950895,2013,3,jerez,Jorge LORENZO,3,1028.003096397003,,2,1
51,2013.3.jerez.Valentino ROSSI.4,1068.7957027038624,1095.2678108778912,999.0,1029.9785947050586,1001.0,1031.8704745123352,999.0,1030.0146347692996,2013,3,jerez,Valentino ROSSI,4,1016.9489256759656,,4,0
52,2013.3.jerez.Cal CRUTCHLOW.5,1053.863469174331,1072.0467711413914,1001.0,1022.5690617706429,1001.0,1022.5990951575104,1001.0,1022.605101834884,2013,3,jerez,Cal CRUTCHLOW,5,1014.2158672935827,,5,0
53,2013.3.jerez.Alvaro BAUTISTA.6,1016.6986272092109,1029.6466350151143,999.0,1012.9810658878798,1001.0,1014.8729456951564,1001.0,1014.87895237253,2013,3,jerez,Alvaro BAUTISTA,6,1004.4246568023027,,7,1
54,2013.3.jerez.Nicky HAYDEN.7,1000.7326060863651,1008.3223466984251,999.0,1006.5426080025848,1001.0,1008.4344878098615,1001.0,1008.440494487235,2013,3,jerez,Nicky HAYDEN,7,1000.4331515215913,,9,2
55,2013.3.jerez.Andrea DOVIZIOSO.8,1017.7808690024823,1018.8519225547137,1001.0,1003.0390728519147,1001.0,1003.0691062387823,1001.0,1003.0751129161558,2013,3,jerez,Andrea DOVIZIOSO,8,1005.1952172506205,,6,2
